id;source;titulo;año;venue;relevance_score;crit_1_ia;crit_2_se;crit_3_empirical;crit_4_adoption;decision;reason;rayyan_note
63;Scopus;Enjoy your observability: an industrial survey of microservice tracing and analy;2022;Empirical Software Engineering;25;No;No;Sí;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: Sí
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 25/100
"
64;IEEE;Bridging Precision and Complexity: A Novel Machine Learning Approach for Ambigui;2025;IEEE Access;20;Sí;No;No;Sí;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 20/100
"
65;Scopus;Examining the impact of bias mitigation algorithms on the sustainability of ML-e;2025;Journal of Systems and Software;20;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 20/100
"
66;Scopus;PREDICTION OF SOFTWARE ANOMALIES METHODS BASED ON ENSEMBLE LEARNING METHODS;2025;Kufa Journal of Engineering;20;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 20/100
"
67;Scopus;What Gets Measured Gets Improved: Monitoring Machine Learning Applications in Th;2025;IEEE Access;20;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 20/100
"
68;Scopus;Overview of Artificial Intelligence Application Methods in Software Development;2025;Informatica (Slovenia);20;No;Sí;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 20/100
"
69;Scopus;Quality assurance strategies for machine learning applications in big data analy;2024;Journal of Big Data;20;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 20/100
"
70;Scopus;An architecture for model-based and intelligent automation in DevOps;2024;Journal of Systems and Software;20;No;Sí;No;Sí;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 20/100
"
71;Scopus;Intelligent Learning-Based Methods for Determining the Ideal Team Size in Agile ;2024;Biomimetics;20;No;Sí;No;Sí;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 20/100
"
72;Scopus;Model driven engineering for machine learning components: A systematic literatur;2024;Information and Software Technology;20;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 20/100
"
73;Scopus;The Impact of Resource Allocation on the Machine Learning Lifecycle: Bridging th;2024;Business and Information Systems Engineering;20;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 20/100
"
74;Scopus;Implementing and Evaluating Automated Bug Triage in Industrial Projects;2024;IEEE Access;20;No;Sí;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 20/100
"
75;Scopus;An Extended Survey Concerning the Significance of Artificial Intelligence and Ma;2023;IEEE Access;20;No;Sí;Sí;No;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: No

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 20/100
"
76;Scopus;An Intelligent Framework for Estimating Software Development Projects using Mach;2023;International Journal on Recent and Innovation Tre;15;No;Sí;No;Sí;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 15/100
"
77;IEEE;Assessing GitHub Copilot in Solidity Development: Capabilities, Testing, and Bug;2024;IEEE Access;10;Sí;Sí;No;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 10/100
"
78;IEEE;Review and Empirical Analysis of Machine Learning-Based Software Effort Estimati;2024;IEEE Access;10;Sí;No;Sí;No;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: Sí
4. Adopción/Competencias: No

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 10/100
"
79;IEEE;Improved Software Effort Estimation Through Machine Learning: Challenges, Applic;2024;IEEE Access;10;Sí;Sí;No;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 10/100
"
80;IEEE;Machine Learning Approaches to Code Similarity Measurement: A Systematic Review;2025;IEEE Access;10;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 10/100
"
81;IEEE;Defect Detection and Correction in OpenMP: A Static Analysis and Machine Learnin;2025;IEEE Access;10;No;No;Sí;Sí;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: Sí
4. Adopción/Competencias: Sí

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 10/100
"
82;Scopus;Using Machine Learning to Detect Vault (Anti-Forensic) Apps;2025;Future Internet;10;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 10/100
"
83;Scopus;An Efficient Methodology for the Categorization of Software Requirements Using N;2025;IEEE Access;10;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 10/100
"
84;Scopus;Irrigation with Artificial Intelligence: Problems, Premises, Promises;2024;Human-Centric Intelligent Systems;10;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 10/100
"
85;Scopus;Integrating Observability with DevOps Practices in Financial Services Technologi;2024;International Journal of Advanced Computer Science;10;No;Sí;Sí;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 10/100
"
86;Scopus;Digital Transformation in the Public Administrations: A Guided Tour for Computer;2024;IEEE Access;10;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 10/100
"
87;Scopus;An integration engineering framework for machine learning in healthcare;2022;Frontiers in Digital Health;10;Sí;Sí;No;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 10/100
"
88;Scopus;GELAB - The Cutting Edge of Grammatical Evolution;2022;IEEE Access;10;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 10/100
"
89;Scopus;The pipeline for the continuous development of artificial intelligence models—Cu;2023;Journal of Systems and Software;5;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 5/100
"
90;Scopus;Requests classification in the customer service area for software companies usin;2023;PeerJ Computer Science;5;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 5/100
"
91;Scopus;A step toward building a unified framework for managing AI bias;2023;PeerJ Computer Science;5;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 5/100
"
92;Scopus;Towards a better blockchainification of supply chain applications;2022;Systems and Soft Computing;0;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 0/100
"
93;Scopus;Risk Prediction Applied to Global Software Development using Machine Learning Me;2022;International Journal of Advanced Computer Science;0;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 0/100
"
94;Scopus;Toward Improving the Efficiency of Software Development Effort Estimation via Cl;2022;IEEE Access;0;No;Sí;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 0/100
"
